254, -0.007500 + 0.004515 I
255, 0.002500 + -0.000000 I
256, 0.002500 + 0.000000 I
257, 0.002500 + 0.000000 I
258, -0.007500 + 0.004899 I
259, 0.002500 + 0.000000 I
260, 0.002500 + -0.000000 I
261, 0.002500 + 0.000000 I
262, -0.007500 + 0.005295 I
263, 0.002500 + -0.000000 I
264, 0.002500 + 0.000000 I
265, 0.002500 + -0.000000 I
266, -0.007500 + 0.005704 I
267, 0.002500 + 0.000000 I
268, 0.002500 + -0.000000 I
269, 0.002500 + 0.000000 I
270, -0.007500 + 0.006128 I
271, 0.002500 + 0.000000 I
272, 0.002500 + -0.000000 I
273, 0.002500 + -0.000000 I
274, -0.007500 + 0.006569 I
275, 0.002500 + -0.000000 I
276, 0.002500 + -0.000000 I
277, 0.002500 + -0.000000 I
278, -0.007500 + 0.007028 I
279, 0.002500 + 0.000000 I
280, 0.002500 + 0.000000 I
281, 0.002500 + 0.000000 I
282, -0.007500 + 0.007508 I
283, 0.002500 + -0.000000 I
284, 0.002500 + -0.000000 I
285, 0.002500 + -0.000000 I
286, -0.007500 + 0.008012 I
287, 0.002500 + 0.000000 I
288, 0.002500 + -0.000000 I
289, 0.002500 + 0.000000 I
290, -0.007500 + 0.008541 I
291, 0.002500 + 0.000000 I
292, 0.002500 + -0.000000 I
293, 0.002500 + -0.000000 I
294, -0.007500 + 0.009099 I
295, 0.002500 + 0.000000 I
296, 0.002500 + 0.000000 I
297, 0.002500 + -0.000000 I
298, -0.007500 + 0.009691 I
299, 0.002500 + 0.000000 I
300, 0.002500 + -0.000000 I
301, 0.002500 + 0.000000 I
302, -0.007500 + 0.010319 I
303, 0.002500 + 0.000000 I
304, 0.002500 + 0.000000 I
305, 0.002500 + -0.000000 I
306, -0.007500 + 0.010990 I
307, 0.002500 + 0.000000 I
308, 0.002500 + -0.000000 I
309, 0.002500 + -0.000000 I
310, -0.007500 + 0.011708 I
311, 0.002500 + 0.000000 I
312, 0.002500 + 0.000000 I
313, 0.002500 + 0.000000 I
314, -0.007500 + 0.012482 I
315, 0.002500 + 0.000000 I
316, 0.002500 + -0.000000 I
317, 0.002500 + 0.000000 I
318, -0.007500 + 0.013319 I
319, 0.002500 + 0.000000 I
320, 0.002500 + 0.000000 I
321, 0.002500 + 0.000000 I
322, -0.007500 + 0.014229 I
323, 0.002500 + 0.000000 I
324, 0.002500 + 0.000000 I
325, 0.002500 + 0.000000 I
326, -0.007500 + 0.015224 I
327, 0.002500 + 0.000000 I
328, 0.002500 + -0.000000 I
329, 0.002500 + -0.000000 I
330, -0.007500 + 0.016319 I
331, 0.002500 + -0.000000 I
332, 0.002500 + -0.000000 I
333, 0.002500 + -0.000000 I
334, -0.007500 + 0.017532 I
335, 0.002500 + 0.000000 I
336, 0.002500 + 0.000000 I
337, 0.002500 + 0.000000 I
338, -0.007500 + 0.018887 I
339, 0.002500 + -0.000000 I
340, 0.002500 + 0.000000 I
341, 0.002500 + -0.000000 I
342, -0.007500 + 0.020413 I
343, 0.002500 + 0.000000 I
344, 0.002500 + 0.000000 I
345, 0.002500 + -0.000000 I
346, -0.007500 + 0.022148 I
347, 0.002500 + 0.000000 I
348, 0.002500 + 0.000000 I
349, 0.002500 + 0.000000 I
350, -0.007500 + 0.024142 I
351, 0.002500 + -0.000000 I
352, 0.002500 + -0.000000 I
353, 0.002500 + 0.000000 I
354, -0.007500 + 0.026464 I
355, 0.002500 + 0.000000 I
356, 0.002500 + 0.000000 I
357, 0.002500 + 0.000000 I
358, -0.007500 + 0.029208 I
359, 0.002500 + -0.000000 I
360, 0.002500 + 0.000000 I
361, 0.002500 + 0.000000 I
362, -0.007500 + 0.032506 I
363, 0.002500 + -0.000000 I
364, 0.002500 + 0.000000 I
365, 0.002500 + 0.000000 I
366, -0.007500 + 0.036554 I
367, 0.002500 + 0.000000 I
368, 0.002500 + 0.000000 I
369, 0.002500 + 0.000000 I
370, -0.007500 + 0.041653 I
371, 0.002500 + 0.000000 I
372, 0.002500 + 0.000000 I
373, 0.002500 + -0.000000 I
374, -0.007500 + 0.048288 I
375, 0.002500 + -0.000000 I
376, 0.002500 + -0.000000 I
377, 0.002500 + 0.000000 I
378, -0.007500 + 0.057297 I
379, 0.002500 + -0.000000 I
380, 0.002500 + -0.000000 I
381, 0.002500 + 0.000000 I
382, -0.007500 + 0.070264 I
383, 0.002500 + 0.000000 I
384, 0.002500 + 0.000000 I
385, 0.002500 + -0.000000 I
386, -0.007500 + 0.090579 I
387, 0.002500 + 0.000000 I
388, 0.002500 + 0.000000 I
389, 0.002500 + 0.000000 I
390, -0.007500 + 0.127062 I
391, 0.002500 + -0.000000 I
392, 0.002500 + 0.000000 I
393, 0.002500 + 0.000000 I
394, -0.007500 + 0.212049 I
395, 0.002500 + -0.000000 I
396, 0.002500 + 0.000000 I
397, 0.002500 + 0.000000 I
398, -0.007500 + 0.636567 I
399, 0.002500 + -0.000000 I
